# HELP UNIQUE_ID_SYSTEM Unique ID for the system
# TYPE UNIQUE_ID_SYSTEM gauge
UNIQUE_ID_SYSTEM{uuid="3ae8300b-eee9-4237-8b27-e9e9eef00304"} 1
# HELP active_proccess_list Total number of active proccesses
# TYPE active_proccess_list gauge
active_proccess_list 278
# HELP active_proccess_memory_usage Memory usage for each active proccess
# TYPE active_proccess_memory_usage gauge
active_proccess_memory_usage{pid="1000",process="WUDFHost.exe"} 6.90234375
active_proccess_memory_usage{pid="10012",process="FileCoAuth.exe"} 16.2734375
active_proccess_memory_usage{pid="10012",process="OfficeC2RClient.exe"} 13.58984375
active_proccess_memory_usage{pid="10012",process="RuntimeBroker.exe"} 10.3046875
active_proccess_memory_usage{pid="10012",process="SearchFilterHost.exe"} 7.47265625
active_proccess_memory_usage{pid="10012",process="TrustedInstaller.exe"} 7.6640625
active_proccess_memory_usage{pid="10012",process="audiodg.exe"} 11.8046875
active_proccess_memory_usage{pid="10012",process="conhost.exe"} 13.1015625
active_proccess_memory_usage{pid="10012",process="postgres.exe"} 13.5703125
active_proccess_memory_usage{pid="10012",process="svchost.exe"} 6.3984375
active_proccess_memory_usage{pid="10012",process="updater.exe"} 9.8984375
active_proccess_memory_usage{pid="10016",process="RuntimeBroker.exe"} 32.71875
active_proccess_memory_usage{pid="10016",process="conhost.exe"} 14.078125
active_proccess_memory_usage{pid="10016",process="postgres.exe"} 13.609375
active_proccess_memory_usage{pid="10016",process="svchost.exe"} 14.34375
active_proccess_memory_usage{pid="10024",process="TrustedInstaller.exe"} 7.73828125
active_proccess_memory_usage{pid="10024",process="backgroundTaskHost.exe"} 12.765625
active_proccess_memory_usage{pid="10024",process="dllhost.exe"} 7.48046875
active_proccess_memory_usage{pid="10024",process="postgres.exe"} 12.47265625
active_proccess_memory_usage{pid="10024",process="svchost.exe"} 7.8046875
active_proccess_memory_usage{pid="10028",process="RuntimeBroker.exe"} 10.29296875
active_proccess_memory_usage{pid="10028",process="TiWorker.exe"} 11.984375
active_proccess_memory_usage{pid="10028",process="TrustedInstaller.exe"} 7.68359375
active_proccess_memory_usage{pid="10028",process="backgroundTaskHost.exe"} 12.74609375
active_proccess_memory_usage{pid="10028",process="postgres.exe"} 13.65625
active_proccess_memory_usage{pid="10028",process="svchost.exe"} 8.42578125
active_proccess_memory_usage{pid="10032",process="FileCoAuth.exe"} 16.12890625
active_proccess_memory_usage{pid="10032",process="TiWorker.exe"} 11.60546875
active_proccess_memory_usage{pid="10036",process="TrustedInstaller.exe"} 7.6484375
